temperature,bertscore_f1,bleurt,n_samples,model_type
0.3,-0.08073747903108597,0.3432991663094169,372,baseline
0.4,-0.09992177039384842,0.33756373939167134,371,baseline
0.5,-0.07172344624996185,0.3447946084128947,373,baseline
0.6,-0.12995488941669464,0.33681665014718537,368,baseline
0.7,-0.09905250370502472,0.34091009133878875,374,baseline
0.3,0.14624930918216705,0.3898319072830371,390,finetuned
0.4,0.15755748748779297,0.3994233237829098,388,finetuned
0.5,0.13285773992538452,0.3824536007650467,386,finetuned
0.6,0.1406494677066803,0.3913912183998786,388,finetuned
0.7,0.12665338814258575,0.38557607288123996,393,finetuned
