temperature,bertscore_f1,bleurt,n_samples,model_type
0.3,0.057351864874362946,0.37683491584793405,398,baseline
0.4,0.04820771515369415,0.3713283060895438,398,baseline
0.5,0.0574178583920002,0.3775883539575129,398,baseline
0.6,0.05720510333776474,0.37586572549151415,398,baseline
0.7,0.05384112522006035,0.372771150783528,398,baseline
0.3,0.15438662469387054,0.3933642269501203,395,finetuned
0.4,0.1428566724061966,0.38828556635711764,395,finetuned
0.5,0.15490096807479858,0.392957689377326,395,finetuned
0.6,0.1454920470714569,0.3896075976045826,395,finetuned
0.7,0.13159038126468658,0.3769712744068496,395,finetuned
