step,epoch,timestamp,train_loss,learning_rate,grad_norm
5,0.16,2026-01-22T14:26:50.763053,3.9496,4.998573727324295e-05,12.625
10,0.32,2026-01-22T14:27:14.042415,3.2821,4.948824853131236e-05,14.0625
15,0.48,2026-01-22T14:27:38.890873,3.4028,4.829381421141671e-05,12.0625
20,0.64,2026-01-22T14:28:02.656563,3.3732,4.643642840326627e-05,16.25
25,0.8,2026-01-22T14:28:27.005203,2.5541,4.3968953067319777e-05,5.09375
30,0.96,2026-01-22T14:28:55.672600,2.6026,4.096161356174959e-05,6.15625
35,1.096,2026-01-22T14:29:15.420129,2.7766,3.7500000000000003e-05,5.65625
40,1.256,2026-01-22T14:29:39.693169,2.3292,3.3682631321120504e-05,4.5
45,1.416,2026-01-22T14:30:03.579772,2.6746,2.961815140042974e-05,4.46875
50,1.576,2026-01-22T14:30:26.257552,2.5457,2.5422237000348276e-05,4.46875
55,1.736,2026-01-22T14:30:55.584583,2.2692,2.1214305562385592e-05,4.90625
60,1.896,2026-01-22T14:31:19.487777,2.4245,1.711411653786861e-05,5.5625
65,2.032,2026-01-22T14:31:40.037799,2.3937,1.3238362984931113e-05,7.03125
70,2.192,2026-01-22T14:32:03.918753,2.1638,9.697350436308427e-06,4.625
75,2.352,2026-01-22T14:32:28.129694,2.2928,6.591857558720071e-06,1.7421875
80,2.512,2026-01-22T14:32:57.426660,2.3716,4.010267950759025e-06,4.0
85,2.672,2026-01-22T14:33:21.112533,2.3992,2.026054709494235e-06,3.78125
90,2.832,2026-01-22T14:33:45.041839,2.126,6.956893560502359e-07,2.234375
95,2.992,2026-01-22T14:34:08.857477,2.1883,5.7034632998231865e-08,2.984375
