experiment_id,lora_r,lora_alpha,lora_dropout,learning_rate,num_epochs,warmup_ratio,weight_decay,best_eval_loss,final_eval_loss,final_train_loss,duration_seconds,total_steps
exp_005_r8_a64_d0.0,8,64,0.0,0.0001,1,0.05,0.01,2.8185155391693115,2.8185155391693115,2.4474,154.480834,6
exp_006_r8_a64_d0.05,8,64,0.05,0.0001,1,0.05,0.01,2.8289825916290283,2.8289825916290283,2.4582,156.208249,6
exp_017_r32_a64_d0.0,32,64,0.0,0.0001,1,0.05,0.01,2.838380813598633,2.838380813598633,2.4621,154.543563,6
exp_018_r32_a64_d0.05,32,64,0.05,0.0001,1,0.05,0.01,2.842733860015869,2.842733860015869,2.466,155.905703,6
exp_023_r64_a64_d0.0,64,64,0.0,0.0001,1,0.05,0.01,2.8452134132385254,2.8452134132385254,2.4691,155.03839,6
exp_024_r64_a64_d0.05,64,64,0.05,0.0001,1,0.05,0.01,2.8461742401123047,2.8461742401123047,2.4708,156.587319,6
exp_011_r16_a64_d0.0,16,64,0.0,0.0001,1,0.05,0.01,2.860153913497925,2.860153913497925,2.4792,154.963336,6
exp_012_r16_a64_d0.05,16,64,0.05,0.0001,1,0.05,0.01,2.8621222972869873,2.8621222972869873,2.481,156.306169,6
exp_016_r32_a32_d0.05,32,32,0.05,0.0001,1,0.05,0.01,3.084096670150757,3.084096670150757,2.668,155.945259,6
exp_003_r8_a32_d0.0,8,32,0.0,0.0001,1,0.05,0.01,3.0986602306365967,3.0986602306365967,2.6783,154.392089,6
exp_004_r8_a32_d0.05,8,32,0.05,0.0001,1,0.05,0.01,3.1035661697387695,3.1035661697387695,2.6882,155.740933,6
exp_021_r64_a32_d0.0,64,32,0.0,0.0001,1,0.05,0.01,3.114633798599243,3.114633798599243,2.6888,154.752187,6
exp_022_r64_a32_d0.05,64,32,0.05,0.0001,1,0.05,0.01,3.114872455596924,3.114872455596924,2.686,156.110659,6
exp_015_r32_a32_d0.0,32,32,0.0,0.0001,1,0.05,0.01,3.1188292503356934,3.1188292503356934,2.7015,154.464706,6
exp_009_r16_a32_d0.0,16,32,0.0,0.0001,1,0.05,0.01,3.1307408809661865,3.1307408809661865,2.7028,154.928484,6
exp_010_r16_a32_d0.05,16,32,0.05,0.0001,1,0.05,0.01,3.136126756668091,3.136126756668091,2.7081,156.254824,6
exp_014_r32_a16_d0.05,32,16,0.05,0.0001,1,0.05,0.01,3.396329641342163,3.396329641342163,2.9762,155.923555,6
exp_013_r32_a16_d0.0,32,16,0.0,0.0001,1,0.05,0.01,3.3983187675476074,3.3983187675476074,2.9734,154.594388,6
exp_002_r8_a16_d0.05,8,16,0.05,0.0001,1,0.05,0.01,3.406949520111084,3.406949520111084,2.9765,155.672895,6
exp_001_r8_a16_d0.0,8,16,0.0,0.0001,1,0.05,0.01,3.41392183303833,3.41392183303833,2.9778,154.428233,6
exp_019_r64_a16_d0.0,64,16,0.0,0.0001,1,0.05,0.01,3.4256341457366943,3.4256341457366943,2.994,154.792498,6
exp_020_r64_a16_d0.05,64,16,0.05,0.0001,1,0.05,0.01,3.4342496395111084,3.4342496395111084,3.0012,156.0615,6
exp_007_r16_a16_d0.0,16,16,0.0,0.0001,1,0.05,0.01,3.447598934173584,3.447598934173584,3.0098,154.8873,6
exp_008_r16_a16_d0.05,16,16,0.05,0.0001,1,0.05,0.01,3.4506232738494873,3.4506232738494873,3.0166,156.293615,6
