experiment_id,lora_r,lora_alpha,lora_dropout,learning_rate,num_epochs,warmup_ratio,weight_decay,best_eval_loss,final_eval_loss,final_train_loss,duration_seconds,total_steps
exp_031_lr2e-04_e3,8,64,0.0,0.0002,3,0.1,0.0,1.8117260932922363,1.8117260932922363,1.7482,516.407274,19
exp_032_lr2e-04_e3,8,64,0.0,0.0002,3,0.1,0.01,1.813212275505066,1.813212275505066,1.7494,502.547683,19
exp_029_lr2e-04_e3,8,64,0.0,0.0002,3,0.03,0.0,1.8133111000061035,1.8133111000061035,1.7418,493.276797,19
exp_030_lr2e-04_e3,8,64,0.0,0.0002,3,0.03,0.01,1.8170303106307983,1.8170303106307983,1.7472,487.594508,19
exp_022_lr1e-04_e3,8,64,0.0,0.0001,3,0.03,0.01,1.99907648563385,1.99907648563385,1.9053,467.959271,19
exp_021_lr1e-04_e3,8,64,0.0,0.0001,3,0.03,0.0,2.003700017929077,2.003700017929077,1.9097,495.59863,19
exp_024_lr1e-04_e3,8,64,0.0,0.0001,3,0.1,0.01,2.026904582977295,2.026904582977295,1.9172,493.976777,19
exp_023_lr1e-04_e3,8,64,0.0,0.0001,3,0.1,0.0,2.036855697631836,2.036855697631836,1.9223,475.815099,19
exp_027_lr2e-04_e1,8,64,0.0,0.0002,1,0.1,0.0,2.315744400024414,2.315744400024414,2.0742,163.585526,6
exp_026_lr2e-04_e1,8,64,0.0,0.0002,1,0.03,0.01,2.317014455795288,2.317014455795288,2.075,156.763585,6
exp_028_lr2e-04_e1,8,64,0.0,0.0002,1,0.1,0.01,2.321502685546875,2.321502685546875,2.0781,161.62078,6
exp_025_lr2e-04_e1,8,64,0.0,0.0002,1,0.03,0.0,2.334188222885132,2.334188222885132,2.088,157.909655,6
exp_013_lr5e-05_e3,8,64,0.0,5e-05,3,0.03,0.0,2.3349547386169434,2.3349547386169434,2.1747,464.750717,19
exp_016_lr5e-05_e3,8,64,0.0,5e-05,3,0.1,0.01,2.3516058921813965,2.3516058921813965,2.187,463.500684,19
exp_015_lr5e-05_e3,8,64,0.0,5e-05,3,0.1,0.0,2.3550124168395996,2.3550124168395996,2.1871,463.258484,19
exp_014_lr5e-05_e3,8,64,0.0,5e-05,3,0.03,0.01,2.356762647628784,2.356762647628784,2.1883,463.149628,19
exp_018_lr1e-04_e1,8,64,0.0,0.0001,1,0.03,0.01,2.8222343921661377,2.8222343921661377,2.45,154.830227,6
exp_020_lr1e-04_e1,8,64,0.0,0.0001,1,0.1,0.01,2.8275365829467773,2.8275365829467773,2.4537,161.667393,6
exp_017_lr1e-04_e1,8,64,0.0,0.0001,1,0.03,0.0,2.8384218215942383,2.8384218215942383,2.4637,155.60143,6
exp_019_lr1e-04_e1,8,64,0.0,0.0001,1,0.1,0.0,2.8436357975006104,2.8436357975006104,2.4692,155.451359,6
exp_010_lr5e-05_e1,8,64,0.0,5e-05,1,0.03,0.01,3.2667205333709717,3.2667205333709717,2.8501,155.515357,6
exp_011_lr5e-05_e1,8,64,0.0,5e-05,1,0.1,0.0,3.268533945083618,3.268533945083618,2.8393,155.061277,6
exp_012_lr5e-05_e1,8,64,0.0,5e-05,1,0.1,0.01,3.281534433364868,3.281534433364868,2.8601,155.136417,6
exp_009_lr5e-05_e1,8,64,0.0,5e-05,1,0.03,0.0,3.3013057708740234,3.3013057708740234,2.8853,155.060324,6
exp_005_lr1e-05_e3,8,64,0.0,1e-05,3,0.03,0.0,3.601483106613159,3.601483106613159,3.2484,464.402697,19
exp_006_lr1e-05_e3,8,64,0.0,1e-05,3,0.03,0.01,3.66306734085083,3.66306734085083,3.3067,463.080182,19
exp_008_lr1e-05_e3,8,64,0.0,1e-05,3,0.1,0.01,3.6755247116088867,3.6755247116088867,3.3121,463.799612,19
exp_007_lr1e-05_e3,8,64,0.0,1e-05,3,0.1,0.0,3.6827805042266846,3.6827805042266846,3.315,463.836218,19
exp_003_lr1e-05_e1,8,64,0.0,1e-05,1,0.1,0.0,4.024362087249756,4.024362087249756,3.4785,155.010613,6
exp_002_lr1e-05_e1,8,64,0.0,1e-05,1,0.03,0.01,4.0262885093688965,4.0262885093688965,3.4783,154.947634,6
exp_001_lr1e-05_e1,8,64,0.0,1e-05,1,0.03,0.0,4.02692174911499,4.02692174911499,3.4783,155.059932,6
exp_004_lr1e-05_e1,8,64,0.0,1e-05,1,0.1,0.01,4.0292439460754395,4.0292439460754395,3.4775,154.932491,6
