temperature,bertscore_f1,bleurt,n_samples,model_type
0.3,0.8124057650566101,0.2771650870428912,398,baseline
0.4,0.8096358180046082,0.2906921426180619,398,baseline
0.5,0.8111705183982849,0.28617665403751874,398,baseline
0.6,0.8096923828125,0.2815079175534859,398,baseline
0.7,0.8115424513816833,0.2750391471550692,398,baseline
0.3,0.816877007484436,0.24597522105109326,392,finetuned
0.4,0.8183428049087524,0.2422680626300123,389,finetuned
0.5,0.8184001445770264,0.2403168046985136,391,finetuned
0.6,0.8207886219024658,0.22803034639144004,389,finetuned
0.7,0.8169439435005188,0.22608035515107766,391,finetuned
